state_fips,year,poverty_rate,median_hh_income,rpp_all,rpp_rents
01,2008,,42666.0,88.901,59.88
01,2009,,40489.0,87.786,60.148
01,2010,19.0,40474.0,89.783,61.501
01,2011,19.0,41415.0,90.011,60.854
01,2012,19.0,41574.0,90.559,62.321
01,2013,18.7,42849.0,90.324,61.409
01,2014,19.3,42830.0,90.175,59.913
01,2015,18.5,44765.0,89.741,59.246
01,2016,17.1,46257.0,90.609,60.511
01,2017,16.9,48123.0,90.065,61.118
01,2018,16.8,49861.0,87.378,59.641
01,2019,15.5,51734.0,88.303,60.277
01,2020,,,87.569,59.582
01,2021,16.1,53913.0,88.062,60.596
01,2022,16.2,59674.0,88.021,57.502
01,2023,15.6,62212.0,89.097,61.601
02,2008,,68460.0,103.878,105.956
02,2009,,66953.0,106.147,119.666
02,2010,9.9,64576.0,103.099,113.679
02,2011,10.5,67825.0,103.274,109.994
02,2012,10.1,67712.0,102.548,116.474
02,2013,9.3,72237.0,102.052,114.823
02,2014,11.2,71583.0,102.386,116.652
02,2015,10.3,73355.0,103.287,114.548
02,2016,9.9,76440.0,104.073,108.72
02,2017,11.1,73181.0,104.833,109.38
02,2018,10.9,74346.0,104.565,104.763
02,2019,10.1,75463.0,103.041,101.303
02,2020,,,101.339,89.699
02,2021,10.5,77845.0,104.907,103.366
02,2022,11.0,88121.0,102.101,96.585
02,2023,10.4,86631.0,103.297,96.736
04,2008,,50958.0,102.504,103.316
04,2009,,48745.0,102.865,99.867
04,2010,17.4,46789.0,100.558,96.898
04,2011,19.0,46709.0,99.083,94.775
04,2012,18.7,47826.0,98.05,95.176
04,2013,18.6,48510.0,98.441,93.617
04,2014,18.2,50068.0,97.944,92.74
04,2015,17.4,51492.0,97.865,93.772
04,2016,16.4,53558.0,98.622,92.448
04,2017,14.9,56581.0,97.915,93.527
04,2018,14.0,59246.0,97.381,94.255
04,2019,13.5,62055.0,97.779,93.582
04,2020,,,99.203,97.944
04,2021,12.8,69056.0,96.6,102.346
04,2022,12.5,74568.0,99.992,106.244
04,2023,12.4,77315.0,100.742,108.561
05,2008,,38815.0,88.096,58.671
05,2009,,37823.0,86.364,57.419
05,2010,18.8,38307.0,88.561,59.83
05,2011,19.5,38758.0,89.383,61.012
05,2012,19.8,40112.0,89.394,60.322
05,2013,19.7,40511.0,89.493,59.938
05,2014,18.9,41262.0,89.395,60.244
05,2015,19.1,41995.0,89.013,59.372
05,2016,17.2,44334.0,89.298,59.309
05,2017,16.4,45869.0,88.561,57.639
05,2018,17.2,47062.0,87.144,56.16
05,2019,16.2,48952.0,87.744,56.808
05,2020,,,88.165,56.872
05,2021,16.3,52528.0,88.902,59.435
05,2022,16.8,55432.0,86.913,55.671
05,2023,15.7,58700.0,86.81,56.737
06,2008,,61021.0,111.22,161.361
06,2009,,58931.0,110.696,160.404
06,2010,15.8,57708.0,109.703,158.028
06,2011,16.6,57287.0,109.503,157.145
06,2012,17.0,58328.0,109.666,156.194
06,2013,16.8,60190.0,109.667,155.709
06,2014,16.4,61933.0,109.926,157.935
06,2015,15.3,64500.0,110.685,158.044
06,2016,14.3,67739.0,109.956,160.083
06,2017,13.3,71805.0,110.998,162.521
06,2018,12.8,75277.0,111.882,163.834
06,2019,11.8,80440.0,111.134,164.636
06,2020,,,111.944,166.329
06,2021,12.3,84907.0,111.918,164.99
06,2022,12.2,91551.0,112.591,160.121
06,2023,12.0,95521.0,112.195,157.831
08,2008,,56993.0,103.315,113.855
08,2009,,55430.0,102.378,113.15
08,2010,13.4,54046.0,100.59,112.151
08,2011,13.5,55387.0,103.384,118.781
08,2012,13.7,56765.0,103.138,115.653
08,2013,13.0,58823.0,103.099,118.014
08,2014,12.0,61303.0,103.068,120.756
08,2015,11.5,63909.0,103.048,123.873
08,2016,11.0,65685.0,102.716,126.18
08,2017,10.3,69117.0,102.946,128.889
08,2018,9.6,71953.0,100.29,128.338
08,2019,9.3,77127.0,102.491,131.041
08,2020,,,103.774,130.4
08,2021,9.7,82254.0,102.765,129.43
08,2022,9.4,89302.0,102.26,129.53
08,2023,9.3,92911.0,101.856,130.501
09,2008,,68595.0,110.451,131.408
09,2009,,67034.0,110.72,136.981
09,2010,10.1,64032.0,106.999,129.003
09,2011,10.9,65753.0,107.834,129.709
09,2012,10.7,67276.0,107.595,131.541
09,2013,10.7,67098.0,107.731,129.56
09,2014,10.8,70048.0,107.015,127.716
09,2015,10.5,71346.0,107.536,132.47
09,2016,9.8,73433.0,107.477,127.433
09,2017,9.6,74168.0,107.228,121.44
09,2018,10.4,76348.0,104.015,122.203
09,2019,10.0,78833.0,103.915,118.018
09,2020,,,105.119,123.162
09,2021,10.1,83771.0,102.886,120.905
