state_fips,year,contract_rent_monthly,gross_rent_monthly,contract_rent_annual,gross_rent_annual,state_abbr
01,2008,447,631,5364,7572,AL
01,2009,468,657,5616,7884,AL
01,2010,471,667,5652,8004,AL
01,2011,482,687,5784,8244,AL
01,2012,510,689,6120,8268,AL
01,2013,515,694,6180,8328,AL
01,2014,521,717,6252,8604,AL
01,2015,536,729,6432,8748,AL
01,2016,559,743,6708,8916,AL
01,2017,565,750,6780,9000,AL
01,2018,585,788,7020,9456,AL
01,2019,597,807,7164,9684,AL
01,2021,650,861,7800,10332,AL
01,2022,693,913,8316,10956,AL
01,2023,757,982,9084,11784,AL
02,2008,863,949,10356,11388,AK
02,2009,903,1007,10836,12084,AK
02,2010,904,981,10848,11772,AK
02,2011,945,1049,11340,12588,AK
02,2012,990,1120,11880,13440,AK
02,2013,1008,1117,12096,13404,AK
02,2014,1071,1183,12852,14196,AK
02,2015,1061,1163,12732,13956,AK
02,2016,1096,1208,13152,14496,AK
02,2017,1085,1201,13020,14412,AK
02,2018,1077,1177,12924,14124,AK
02,2019,1095,1201,13140,14412,AK
02,2021,1119,1259,13428,15108,AK
02,2022,1180,1329,14160,15948,AK
02,2023,1242,1373,14904,16476,AK
04,2008,738,866,8856,10392,AZ
04,2009,732,859,8784,10308,AZ
04,2010,709,844,8508,10128,AZ
04,2011,716,850,8592,10200,AZ
04,2012,740,888,8880,10656,AZ
04,2013,746,890,8952,10680,AZ
04,2014,766,916,9192,10992,AZ
04,2015,791,933,9492,11196,AZ
04,2016,824,976,9888,11712,AZ
04,2017,858,1020,10296,12240,AZ
04,2018,884,1036,10608,12432,AZ
04,2019,939,1101,11268,13212,AZ
04,2021,1099,1253,13188,15036,AZ
04,2022,1291,1450,15492,17400,AZ
04,2023,1438,1608,17256,19296,AZ
05,2008,435,606,5220,7272,AR
05,2009,435,606,5220,7272,AR
05,2010,468,638,5616,7656,AR
05,2011,467,639,5604,7668,AR
05,2012,480,640,5760,7680,AR
05,2013,489,659,5868,7908,AR
05,2014,506,683,6072,8196,AR
05,2015,521,695,6252,8340,AR
05,2016,535,701,6420,8412,AR
05,2017,548,711,6576,8532,AR
05,2018,559,731,6708,8772,AR
05,2019,576,742,6912,8904,AR
05,2021,625,820,7500,9840,AR
05,2022,654,846,7848,10152,AR
05,2023,721,933,8652,11196,AR
06,2008,1035,1135,12420,13620,CA
06,2009,1058,1155,12696,13860,CA
06,2010,1066,1163,12792,13956,CA
06,2011,1077,1174,12924,14088,CA
06,2012,1100,1200,13200,14400,CA
06,2013,1120,1224,13440,14688,CA
06,2014,1161,1268,13932,15216,CA
06,2015,1198,1311,14376,15732,CA
06,2016,1252,1375,15024,16500,CA
06,2017,1320,1447,15840,17364,CA
06,2018,1399,1520,16788,18240,CA
06,2019,1486,1614,17832,19368,CA
06,2021,1619,1750,19428,21000,CA
06,2022,1719,1870,20628,22440,CA
06,2023,1820,1992,21840,23904,CA
08,2008,739,848,8868,10176,CO
08,2009,753,851,9036,10212,CO
08,2010,756,863,9072,10356,CO
08,2011,799,900,9588,10800,CO
08,2012,825,934,9900,11208,CO
08,2013,858,971,10296,11652,CO
