state_fips,year,state_abbr,state_name,census_region,census_division,min_wage_nominal,min_wage_annual_avg,federal_min_wage,binding_min_wage,annualized_mw_income,contract_rent_monthly,gross_rent_monthly,contract_rent_annual,gross_rent_annual,tfp_national_monthly,tfp_national_annual,rpp_goods_index,food_reconstructed_annual,construction_flag_food,electric_bill_monthly,electric_bill_annual,gas_price_per_mcf,gas_bill_monthly,gas_bill_annual,construction_flag_gas,poverty_rate,median_hh_income,rpp_all,rpp_rents
01,2008,AL,Alabama,South,East South Central,6.550000190734863,6.157923698425293,6.55,6.550000190734863,13624.000396728516,447.0,631.0,5364.0,7572.0,512.6,6151.200000000001,95.966,5903.060592000001,reconstructed,132.15654543166235,1585.878545179948,18.3,91.5,1098.0,estimated_from_price,,42666.0,88.901,59.88
01,2009,AL,Alabama,South,East South Central,7.25,6.858767032623291,7.25,7.25,15080.0,468.0,657.0,5616.0,7884.0,530.3,6363.599999999999,93.986,5980.893096,reconstructed,131.4233946692268,1577.0807360307217,18.12,90.6,1087.2,estimated_from_price,,40489.0,87.786,60.148
01,2010,AL,Alabama,South,East South Central,7.25,7.25,7.25,7.25,15080.0,471.0,667.0,5652.0,8004.0,535.6,6427.200000000001,96.407,6196.2707040000005,reconstructed,147.6894083017012,1772.2728996204146,15.79,78.94999999999999,947.4,estimated_from_price,19.0,40474.0,89.783,61.501
01,2011,AL,Alabama,South,East South Central,7.25,7.25,7.25,7.25,15080.0,482.0,687.0,5784.0,8244.0,556.8,6681.599999999999,95.951,6411.062015999999,reconstructed,142.4059273087918,1708.8711277055015,15.08,75.4,904.8,estimated_from_price,19.0,41415.0,90.011,60.854
01,2012,AL,Alabama,South,East South Central,7.25,7.25,7.25,7.25,15080.0,510.0,689.0,6120.0,8268.0,567.6,6811.200000000001,95.208,6484.807296000001,reconstructed,135.26334002331654,1623.1600802797984,16.2,81.0,972.0,estimated_from_price,19.0,41574.0,90.559,62.321
01,2013,AL,Alabama,South,East South Central,7.25,7.25,7.25,7.25,15080.0,515.0,694.0,6180.0,8328.0,570.6,6847.200000000001,96.222,6588.5127840000005,reconstructed,136.35753055494052,1636.2903666592863,15.47,77.35000000000001,928.2,estimated_from_price,18.7,42849.0,90.324,61.409
01,2014,AL,Alabama,South,East South Central,7.25,7.25,7.25,7.25,15080.0,521.0,717.0,6252.0,8604.0,567.8,6813.599999999999,96.253,6558.294408,reconstructed,145.24896418547416,1742.98757022569,14.62,73.1,877.1999999999999,estimated_from_price,19.3,42830.0,90.175,59.913
01,2015,AL,Alabama,South,East South Central,7.25,7.25,7.25,7.25,15080.0,536.0,729.0,6432.0,8748.0,560.4,6724.799999999999,95.222,6403.489055999999,reconstructed,142.4831104814895,1709.797325777874,14.13,70.65,847.8000000000001,estimated_from_price,18.5,44765.0,89.741,59.246
01,2016,AL,Alabama,South,East South Central,7.25,7.25,7.25,7.25,15080.0,559.0,743.0,6708.0,8916.0,556.0,6672.0,96.055,6408.7896,reconstructed,145.54516988143396,1746.5420385772077,14.06,70.3,843.6,estimated_from_price,17.1,46257.0,90.609,60.511
01,2017,AL,Alabama,South,East South Central,7.25,7.25,7.25,7.25,15080.0,565.0,750.0,6780.0,9000.0,563.8,6765.599999999999,95.483,6459.997848,reconstructed,142.55483847068476,1710.658061648217,16.12,80.60000000000001,967.2,estimated_from_price,16.9,48123.0,90.065,61.118
