state_fips,state_abbr,year,min_wage_nominal,min_wage_annual_avg,federal_min_wage,binding_min_wage,annualized_mw_income
01,AL,2008,6.550000190734863,6.157923698425293,6.55,6.550000190734863,13624.000396728516
01,AL,2009,7.25,6.858767032623291,7.25,7.25,15080.0
01,AL,2010,7.25,7.25,7.25,7.25,15080.0
01,AL,2011,7.25,7.25,7.25,7.25,15080.0
01,AL,2012,7.25,7.25,7.25,7.25,15080.0
01,AL,2013,7.25,7.25,7.25,7.25,15080.0
01,AL,2014,7.25,7.25,7.25,7.25,15080.0
01,AL,2015,7.25,7.25,7.25,7.25,15080.0
01,AL,2016,7.25,7.25,7.25,7.25,15080.0
01,AL,2017,7.25,7.25,7.25,7.25,15080.0
01,AL,2018,7.25,7.25,7.25,7.25,15080.0
01,AL,2019,7.25,7.25,7.25,7.25,15080.0
01,AL,2020,7.25,7.25,7.25,7.25,15080.0
01,AL,2021,7.25,7.25,7.25,7.25,15080.0
01,AL,2022,7.25,7.25,7.25,7.25,15080.0
02,AK,2008,7.150000095367432,7.150000095367432,6.55,7.150000095367432,14872.000198364258
02,AK,2009,7.25,7.1941094398498535,7.25,7.25,15080.0
02,AK,2010,7.75,7.75,7.25,7.75,16120.0
02,AK,2011,7.75,7.75,7.25,7.75,16120.0
02,AK,2012,7.75,7.75,7.25,7.75,16120.0
02,AK,2013,7.75,7.75,7.25,7.75,16120.0
02,AK,2014,7.75,7.75,7.25,7.75,16120.0
02,AK,2015,8.75,8.75,7.25,8.75,18200.0
02,AK,2016,9.75,9.75,7.25,9.75,20280.0
02,AK,2017,9.800000190734863,9.800000190734863,7.25,9.800000190734863,20384.000396728516
02,AK,2018,9.84000015258789,9.84000015258789,7.25,9.84000015258789,20467.200317382812
02,AK,2019,9.890000343322754,9.890000343322754,7.25,9.890000343322754,20571.200714111328
02,AK,2020,10.1899995803833,10.1899995803833,7.25,10.1899995803833,21195.199127197266
02,AK,2021,10.34000015258789,10.34000015258789,7.25,10.34000015258789,21507.200317382812
02,AK,2022,10.34000015258789,10.34000015258789,7.25,10.34000015258789,21507.200317382812
04,AZ,2008,6.900000095367432,6.900000095367432,6.55,6.900000095367432,14352.000198364258
04,AZ,2009,7.25,7.25,7.25,7.25,15080.0
04,AZ,2010,7.25,7.25,7.25,7.25,15080.0
04,AZ,2011,7.349999904632568,7.349999904632568,7.25,7.349999904632568,15287.999801635742
04,AZ,2012,7.650000095367432,7.650000095367432,7.25,7.650000095367432,15912.000198364258
04,AZ,2013,7.800000190734863,7.800000190734863,7.25,7.800000190734863,16224.000396728516
04,AZ,2014,7.900000095367432,7.900000095367432,7.25,7.900000095367432,16432.000198364258
04,AZ,2015,8.050000190734863,8.050000190734863,7.25,8.050000190734863,16744.000396728516
04,AZ,2016,8.050000190734863,8.050000190734863,7.25,8.050000190734863,16744.000396728516
04,AZ,2017,10.0,10.0,7.25,10.0,20800.0
04,AZ,2018,10.5,10.5,7.25,10.5,21840.0
04,AZ,2019,11.0,11.0,7.25,11.0,22880.0
04,AZ,2020,12.0,12.0,7.25,12.0,24960.0
04,AZ,2021,12.149999618530273,12.149999618530273,7.25,12.149999618530273,25271.99920654297
04,AZ,2022,12.800000190734863,12.800000190734863,7.25,12.800000190734863,26624.000396728516
05,AR,2008,6.550000190734863,6.381967067718506,6.55,6.550000190734863,13624.000396728516
05,AR,2009,7.25,6.858767032623291,7.25,7.25,15080.0
05,AR,2010,7.25,7.25,7.25,7.25,15080.0
05,AR,2011,7.25,7.25,7.25,7.25,15080.0
05,AR,2012,7.25,7.25,7.25,7.25,15080.0
05,AR,2013,7.25,7.25,7.25,7.25,15080.0
05,AR,2014,7.25,7.25,7.25,7.25,15080.0
05,AR,2015,7.5,7.5,7.25,7.5,15600.0
05,AR,2016,8.0,8.0,7.25,8.0,16640.0
05,AR,2017,8.5,8.5,7.25,8.5,17680.0
05,AR,2018,8.5,8.5,7.25,8.5,17680.0
05,AR,2019,9.25,9.25,7.25,9.25,19240.0
05,AR,2020,10.0,10.0,7.25,10.0,20800.0
05,AR,2021,11.0,11.0,7.25,11.0,22880.0
