state_fips,state_abbr,year,electric_bill_monthly,electric_bill_annual,construction_flag_electric,source_electric
01,AL,2021,147.7457868799098,1772.9494425589173,reconstructed_revenue_customers,EIA_HS861_2010
01,AL,2022,167.79957064835017,2013.5948477802021,reconstructed_revenue_customers,EIA_HS861_2010
01,AL,2023,162.67492296547985,1952.0990755857583,reconstructed_revenue_customers,EIA_HS861_2010
02,AK,2021,133.89308522339354,1606.7170226807225,reconstructed_revenue_customers,EIA_HS861_2010
02,AK,2022,134.11437986207832,1609.37255834494,reconstructed_revenue_customers,EIA_HS861_2010
02,AK,2023,137.88128421204263,1654.5754105445117,reconstructed_revenue_customers,EIA_HS861_2010
04,AZ,2021,131.3524597332564,1576.229516799077,reconstructed_revenue_customers,EIA_HS861_2010
04,AZ,2022,138.12663443942867,1657.519613273144,reconstructed_revenue_customers,EIA_HS861_2010
04,AZ,2023,148.44295181136468,1781.3154217363763,reconstructed_revenue_customers,EIA_HS861_2010
05,AR,2021,123.68604217754711,1484.2325061305653,reconstructed_revenue_customers,EIA_HS861_2010
05,AR,2022,133.77620495763486,1605.3144594916184,reconstructed_revenue_customers,EIA_HS861_2010
05,AR,2023,128.50812416113052,1542.0974899335663,reconstructed_revenue_customers,EIA_HS861_2010
06,CA,2021,123.66993724332254,1484.0392469198705,reconstructed_revenue_customers,EIA_HS861_2010
06,CA,2022,138.28975548098404,1659.4770657718086,reconstructed_revenue_customers,EIA_HS861_2010
06,CA,2023,144.81332158511123,1737.7598590213347,reconstructed_revenue_customers,EIA_HS861_2010
08,CO,2021,91.9633548892006,1103.5602586704072,reconstructed_revenue_customers,EIA_HS861_2010
08,CO,2022,98.17927170868347,1178.1512605042017,reconstructed_revenue_customers,EIA_HS861_2010
08,CO,2023,94.64877582571584,1135.78530990859,reconstructed_revenue_customers,EIA_HS861_2010
09,CT,2021,156.20585555354427,1874.4702666425312,reconstructed_revenue_customers,EIA_HS861_2010
09,CT,2022,176.104569428234,2113.254833138808,reconstructed_revenue_customers,EIA_HS861_2010
09,CT,2023,202.7402427964723,2432.8829135576675,reconstructed_revenue_customers,EIA_HS861_2010
10,DE,2021,118.84565487917935,1426.1478585501523,reconstructed_revenue_customers,EIA_HS861_2010
10,DE,2022,128.9864148413957,1547.8369780967487,reconstructed_revenue_customers,EIA_HS861_2010
10,DE,2023,138.04130600950555,1656.4956721140666,reconstructed_revenue_customers,EIA_HS861_2010
11,DC,2021,92.41534461587622,1108.9841353905147,reconstructed_revenue_customers,EIA_HS861_2010
