state_fips,state_abbr,state_name,year,census_region,census_division,contract_rent_monthly,contract_rent_annual,electric_bill_monthly,electric_bill_annual,gas_bill_monthly,gas_bill_annual,tfp_national_annual,rpp_goods_index,food_reconstructed_annual,construction_flag_food,survival_line_nominal_main,min_wage_nominal,binding_min_wage,annualized_mw_income,mw_survival_gap_main,mw_survival_ratio_main,quality_flag
01,AL,Alabama,2008,South,East South Central,447.0,5364.0,132.15654543166235,1585.878545179948,91.5,1098.0,6151.200000000001,95.966,5903.060592000001,reconstructed,13950.93913717995,6.550000190734863,6.550000190734863,13624.000396728516,-326.93874045143457,0.9765651088262491,ok
01,AL,Alabama,2009,South,East South Central,468.0,5616.0,131.4233946692268,1577.0807360307217,90.6,1087.2,6363.599999999999,93.986,5980.893096,reconstructed,14261.173832030723,7.25,7.25,15080.0,818.8261679692769,1.0574164635824146,ok
01,AL,Alabama,2010,South,East South Central,471.0,5652.0,147.6894083017012,1772.2728996204146,78.94999999999999,947.4,6427.200000000001,96.407,6196.2707040000005,reconstructed,14567.943603620415,7.25,7.25,15080.0,512.0563963795848,1.0351495317604285,ok
01,AL,Alabama,2011,South,East South Central,482.0,5784.0,142.4059273087918,1708.8711277055015,75.4,904.8,6681.599999999999,95.951,6411.062015999999,reconstructed,14808.7331437055,7.25,7.25,15080.0,271.26685629450003,1.0183180325867243,ok
01,AL,Alabama,2012,South,East South Central,510.0,6120.0,135.26334002331654,1623.1600802797984,81.0,972.0,6811.200000000001,95.208,6484.807296000001,reconstructed,15199.9673762798,7.25,7.25,15080.0,-119.96737627979928,0.9921073925153936,ok
01,AL,Alabama,2013,South,East South Central,515.0,6180.0,136.35753055494052,1636.2903666592863,77.35000000000001,928.2,6847.200000000001,96.222,6588.5127840000005,reconstructed,15333.003150659288,7.25,7.25,15080.0,-253.0031506592877,0.9834994392048756,ok
01,AL,Alabama,2014,South,East South Central,521.0,6252.0,145.24896418547416,1742.98757022569,73.1,877.1999999999999,6813.599999999999,96.253,6558.294408,reconstructed,15430.48197822569,7.25,7.25,15080.0,-350.4819782256909,0.977286388155583,ok
01,AL,Alabama,2015,South,East South Central,536.0,6432.0,142.4831104814895,1709.797325777874,70.65,847.8000000000001,6724.799999999999,95.222,6403.489055999999,reconstructed,15393.086381777872,7.25,7.25,15080.0,-313.0863817778718,0.9796605843680252,ok
01,AL,Alabama,2016,South,East South Central,559.0,6708.0,145.54516988143396,1746.5420385772077,70.3,843.6,6672.0,96.055,6408.7896,reconstructed,15706.931638577209,7.25,7.25,15080.0,-626.931638577209,0.9600856708997558,ok
01,AL,Alabama,2017,South,East South Central,565.0,6780.0,142.55483847068476,1710.658061648217,80.60000000000001,967.2,6765.599999999999,95.483,6459.997848,reconstructed,15917.855909648217,7.25,7.25,15080.0,-837.8559096482168,0.9473637709498067,ok
