NAME,B19013_001E,state,year
Alabama,42666,01,2008
Alaska,68460,02,2008
Arizona,50958,04,2008
Arkansas,38815,05,2008
California,61021,06,2008
Colorado,56993,08,2008
Connecticut,68595,09,2008
Delaware,57989,10,2008
District of Columbia,57936,11,2008
Florida,47778,12,2008
Georgia,50861,13,2008
Hawaii,67214,15,2008
Idaho,47576,16,2008
Kansas,50177,20,2008
Illinois,56235,17,2008
Indiana,47966,18,2008
Iowa,48980,19,2008
Kentucky,41538,21,2008
Louisiana,43733,22,2008
Maine,46581,23,2008
Maryland,70545,24,2008
Massachusetts,65401,25,2008
Michigan,48591,26,2008
Minnesota,57288,27,2008
Mississippi,37790,28,2008
Missouri,46867,29,2008
Montana,43654,30,2008
Nebraska,49693,31,2008
Nevada,56361,32,2008
New Hampshire,63731,33,2008
New Jersey,70378,34,2008
New Mexico,43508,35,2008
New York,56033,36,2008
North Carolina,46549,37,2008
North Dakota,45685,38,2008
Ohio,47988,39,2008
Oklahoma,42822,40,2008
Oregon,50169,41,2008
Pennsylvania,50713,42,2008
Rhode Island,55701,44,2008
South Carolina,44625,45,2008
South Dakota,46032,46,2008
Tennessee,43614,47,2008
Texas,50043,48,2008
Utah,56633,49,2008
Vermont,52104,50,2008
Virginia,61233,51,2008
Washington,58078,53,2008
West Virginia,37989,54,2008
Wisconsin,52094,55,2008
Wyoming,53207,56,2008
Puerto Rico,18401,72,2008
Alabama,40489,01,2009
Alaska,66953,02,2009
Arizona,48745,04,2009
Arkansas,37823,05,2009
California,58931,06,2009
Colorado,55430,08,2009
Connecticut,67034,09,2009
Delaware,56860,10,2009
District of Columbia,59290,11,2009
Florida,44736,12,2009
Georgia,47590,13,2009
Hawaii,64098,15,2009
Idaho,44926,16,2009
Kansas,47817,20,2009
Illinois,53966,17,2009
Indiana,45424,18,2009
Iowa,48044,19,2009
Kentucky,40072,21,2009
Louisiana,42492,22,2009
Maine,45734,23,2009
Maryland,69272,24,2009
Massachusetts,64081,25,2009
Michigan,45255,26,2009
Minnesota,55616,27,2009
Mississippi,36646,28,2009
Missouri,45229,29,2009
Montana,42322,30,2009
Nebraska,47357,31,2009
Nevada,53341,32,2009
New Hampshire,60567,33,2009
New Jersey,68342,34,2009
New Mexico,43028,35,2009
New York,54659,36,2009
North Carolina,43674,37,2009
North Dakota,47827,38,2009
Ohio,45395,39,2009
Oklahoma,41664,40,2009
Oregon,48457,41,2009
Pennsylvania,49520,42,2009
Rhode Island,54119,44,2009
South Carolina,42442,45,2009
South Dakota,45043,46,2009
Tennessee,41725,47,2009
Texas,48259,48,2009
Utah,55117,49,2009
Vermont,51618,50,2009
Virginia,59330,51,2009
Washington,56548,53,2009
West Virginia,37435,54,2009
Wisconsin,49993,55,2009
Wyoming,52664,56,2009
Puerto Rico,18314,72,2009
Alabama,40474,01,2010
Alaska,64576,02,2010
Arizona,46789,04,2010
Arkansas,38307,05,2010
California,57708,06,2010
Colorado,54046,08,2010
Connecticut,64032,09,2010
Delaware,55847,10,2010
District of Columbia,60903,11,2010
Florida,44409,12,2010
Georgia,46430,13,2010
Hawaii,63030,15,2010
Idaho,43490,16,2010
Illinois,52972,17,2010
Indiana,44613,18,2010
Iowa,47961,19,2010
Kansas,48257,20,2010
Kentucky,40062,21,2010
Louisiana,42505,22,2010
Maine,45815,23,2010
Maryland,68854,24,2010
Massachusetts,62072,25,2010
Michigan,45413,26,2010
Minnesota,55459,27,2010
Mississippi,36851,28,2010
Missouri,44301,29,2010
Montana,42666,30,2010
Nebraska,48408,31,2010
Nevada,51001,32,2010
New Hampshire,61042,33,2010
New Jersey,67681,34,2010
New Mexico,42090,35,2010
New York,54148,36,2010
North Carolina,43326,37,2010
North Dakota,48670,38,2010
Ohio,45090,39,2010
Oklahoma,42072,40,2010
Oregon,46560,41,2010
Pennsylvania,49288,42,2010
Rhode Island,52254,44,2010
South Carolina,42018,45,2010
South Dakota,45904,46,2010
Tennessee,41461,47,2010
Texas,48615,48,2010
Utah,54744,49,2010
Vermont,49406,50,2010
Virginia,60674,51,2010
Washington,55631,53,2010
West Virginia,38218,54,2010
Wisconsin,49001,55,2010
Wyoming,53512,56,2010
Puerto Rico,18862,72,2010
Alabama,41415,01,2011
Alaska,67825,02,2011
Arizona,46709,04,2011
Arkansas,38758,05,2011
California,57287,06,2011
Colorado,55387,08,2011
Connecticut,65753,09,2011
Delaware,58814,10,2011
District of Columbia,63124,11,2011
Florida,44299,12,2011
Georgia,46007,13,2011
Hawaii,61821,15,2011
Idaho,43341,16,2011
Illinois,53234,17,2011
Indiana,46438,18,2011
Iowa,49427,19,2011
Kansas,48964,20,2011
Kentucky,41141,21,2011
Louisiana,41734,22,2011
Maine,46033,23,2011
Maryland,70004,24,2011
Massachusetts,62859,25,2011
Michigan,45981,26,2011
Minnesota,56954,27,2011
Mississippi,36919,28,2011
Missouri,45247,29,2011
Montana,44222,30,2011
Nebraska,50296,31,2011
Nevada,48927,32,2011
New Hampshire,62647,33,2011
New Jersey,67458,34,2011
New Mexico,41963,35,2011
New York,55246,36,2011
North Carolina,43916,37,2011
North Dakota,51704,38,2011
Ohio,45749,39,2011
Oklahoma,43225,40,2011
Oregon,46816,41,2011
Pennsylvania,50228,42,2011
Rhode Island,53636,44,2011
South Carolina,42367,45,2011
South Dakota,48321,46,2011
Tennessee,41693,47,2011
Texas,49392,48,2011
