NAME,S1701_C03_001E,state,year
Alabama,19.0,01,2010
Alaska,9.9,02,2010
Arizona,17.4,04,2010
Arkansas,18.8,05,2010
California,15.8,06,2010
Colorado,13.4,08,2010
Connecticut,10.1,09,2010
Delaware,11.8,10,2010
District of Columbia,19.2,11,2010
Florida,16.5,12,2010
Georgia,17.9,13,2010
Hawaii,10.7,15,2010
Idaho,15.7,16,2010
Illinois,13.8,17,2010
Indiana,15.3,18,2010
Iowa,12.6,19,2010
Kansas,13.6,20,2010
Kentucky,19.0,21,2010
Louisiana,18.7,22,2010
Maine,12.9,23,2010
Maryland,9.9,24,2010
Massachusetts,11.4,25,2010
Michigan,16.8,26,2010
Minnesota,11.6,27,2010
Mississippi,22.4,28,2010
Missouri,15.3,29,2010
Montana,14.6,30,2010
Nebraska,12.9,31,2010
Nevada,14.9,32,2010
New Hampshire,8.3,33,2010
New Jersey,10.3,34,2010
New Mexico,20.4,35,2010
New York,14.9,36,2010
North Carolina,17.5,37,2010
North Dakota,13.0,38,2010
Ohio,15.8,39,2010
Oklahoma,16.9,40,2010
Oregon,15.8,41,2010
Pennsylvania,13.4,42,2010
Rhode Island,14.0,44,2010
South Carolina,18.2,45,2010
South Dakota,14.4,46,2010
Tennessee,17.7,47,2010
Texas,17.9,48,2010
Utah,13.2,49,2010
Vermont,12.7,50,2010
Virginia,11.1,51,2010
Washington,13.4,53,2010
West Virginia,18.1,54,2010
Wisconsin,13.2,55,2010
Wyoming,11.2,56,2010
Puerto Rico,45.0,72,2010
Alabama,19.0,01,2011
Alaska,10.5,02,2011
Arizona,19.0,04,2011
Arkansas,19.5,05,2011
California,16.6,06,2011
Colorado,13.5,08,2011
Connecticut,10.9,09,2011
Delaware,11.9,10,2011
District of Columbia,18.7,11,2011
Florida,17.0,12,2011
Georgia,19.1,13,2011
Hawaii,12.0,15,2011
Idaho,16.5,16,2011
Illinois,15.0,17,2011
Indiana,16.0,18,2011
Iowa,12.8,19,2011
Kansas,13.8,20,2011
Kentucky,19.1,21,2011
Louisiana,20.4,22,2011
Maine,14.1,23,2011
Maryland,10.1,24,2011
Massachusetts,11.6,25,2011
Michigan,17.5,26,2011
Minnesota,11.9,27,2011
Mississippi,22.6,28,2011
Missouri,15.8,29,2011
Montana,14.8,30,2011
Nebraska,13.1,31,2011
Nevada,15.9,32,2011
New Hampshire,8.8,33,2011
New Jersey,10.4,34,2011
New Mexico,21.5,35,2011
New York,16.0,36,2011
North Carolina,17.9,37,2011
North Dakota,12.2,38,2011
Ohio,16.4,39,2011
Oklahoma,17.2,40,2011
Oregon,17.5,41,2011
Pennsylvania,13.8,42,2011
Rhode Island,14.7,44,2011
South Carolina,18.9,45,2011
South Dakota,13.9,46,2011
Tennessee,18.3,47,2011
Texas,18.5,48,2011
Utah,13.5,49,2011
Vermont,11.5,50,2011
Virginia,11.5,51,2011
Washington,13.9,53,2011
West Virginia,18.6,54,2011
Wisconsin,13.1,55,2011
Wyoming,11.3,56,2011
Puerto Rico,45.6,72,2011
Alabama,19.0,01,2012
Alaska,10.1,02,2012
Arizona,18.7,04,2012
Arkansas,19.8,05,2012
California,17.0,06,2012
Colorado,13.7,08,2012
Delaware,12.0,10,2012
District of Columbia,18.2,11,2012
Connecticut,10.7,09,2012
Florida,17.1,12,2012
Georgia,19.2,13,2012
Idaho,15.9,16,2012
Hawaii,11.6,15,2012
Illinois,14.7,17,2012
Indiana,15.6,18,2012
Iowa,12.7,19,2012
Kansas,14.0,20,2012
Kentucky,19.4,21,2012
Louisiana,19.9,22,2012
Maine,14.7,23,2012
Maryland,10.3,24,2012
Massachusetts,11.9,25,2012
Michigan,17.4,26,2012
Minnesota,11.4,27,2012
Mississippi,24.2,28,2012
Missouri,16.2,29,2012
Montana,15.5,30,2012
Nebraska,13.0,31,2012
Nevada,16.4,32,2012
New Hampshire,10.0,33,2012
New Jersey,10.8,34,2012
New Mexico,20.8,35,2012
New York,15.9,36,2012
North Carolina,18.0,37,2012
North Dakota,11.2,38,2012
Ohio,16.3,39,2012
Oklahoma,17.2,40,2012
Oregon,17.2,41,2012
Pennsylvania,13.7,42,2012
Rhode Island,13.7,44,2012
South Carolina,18.3,45,2012
South Dakota,13.4,46,2012
Tennessee,17.9,47,2012
Texas,17.9,48,2012
Vermont,11.8,50,2012
Utah,12.8,49,2012
Virginia,11.7,51,2012
Washington,13.5,53,2012
West Virginia,17.8,54,2012
Wisconsin,13.2,55,2012
Wyoming,12.6,56,2012
Puerto Rico,44.9,72,2012
Mississippi,24.0,28,2013
Missouri,15.9,29,2013
Montana,16.5,30,2013
Nebraska,13.2,31,2013
Nevada,15.8,32,2013
New Hampshire,8.7,33,2013
New Jersey,11.4,34,2013
New Mexico,21.9,35,2013
New York,16.0,36,2013
North Carolina,17.9,37,2013
North Dakota,11.8,38,2013
Ohio,16.0,39,2013
Oklahoma,16.8,40,2013
Oregon,16.7,41,2013
Pennsylvania,13.7,42,2013
Rhode Island,14.3,44,2013
South Carolina,18.6,45,2013
South Dakota,14.2,46,2013
Tennessee,17.8,47,2013
Texas,17.5,48,2013
Vermont,12.3,50,2013
Utah,12.7,49,2013
Virginia,11.7,51,2013
Washington,14.1,53,2013
West Virginia,18.5,54,2013
Wisconsin,13.5,55,2013
Wyoming,10.9,56,2013
Puerto Rico,45.4,72,2013
Alabama,18.7,01,2013
Alaska,9.3,02,2013
Arizona,18.6,04,2013
Arkansas,19.7,05,2013
California,16.8,06,2013
Colorado,13.0,08,2013
Delaware,12.4,10,2013
District of Columbia,18.9,11,2013
Connecticut,10.7,09,2013
Florida,17.0,12,2013
Georgia,19.0,13,2013
Idaho,15.6,16,2013
Hawaii,10.8,15,2013
Illinois,14.7,17,2013
Indiana,15.9,18,2013
Iowa,12.7,19,2013
Kansas,14.0,20,2013
Kentucky,18.8,21,2013
Louisiana,19.8,22,2013
Maine,14.0,23,2013
Maryland,10.1,24,2013
Massachusetts,11.9,25,2013
Michigan,17.0,26,2013
Minnesota,11.2,27,2013
Alabama,19.3,01,2014
Alaska,11.2,02,2014
Arizona,18.2,04,2014
Arkansas,18.9,05,2014
California,16.4,06,2014
Colorado,12.0,08,2014
Delaware,12.5,10,2014
District of Columbia,17.7,11,2014
Connecticut,10.8,09,2014
Florida,16.5,12,2014
Georgia,18.3,13,2014
Idaho,14.8,16,2014
Hawaii,11.4,15,2014
Illinois,14.4,17,2014
Indiana,15.2,18,2014
Iowa,12.2,19,2014
Kansas,13.6,20,2014
Kentucky,19.1,21,2014
Louisiana,19.8,22,2014
Maine,14.1,23,2014
Maryland,10.1,24,2014
Massachusetts,11.6,25,2014
Michigan,16.2,26,2014
Minnesota,11.5,27,2014
Mississippi,21.5,28,2014
Missouri,15.5,29,2014
Montana,15.4,30,2014
Nebraska,12.4,31,2014
Nevada,15.2,32,2014
New Hampshire,9.2,33,2014
New Jersey,11.1,34,2014
New Mexico,21.3,35,2014
New York,15.9,36,2014
North Carolina,17.2,37,2014
North Dakota,11.5,38,2014
Ohio,15.8,39,2014
Oklahoma,16.6,40,2014
Oregon,16.6,41,2014
Pennsylvania,13.6,42,2014
Rhode Island,14.3,44,2014
South Carolina,18.0,45,2014
South Dakota,14.2,46,2014
Tennessee,18.3,47,2014
Texas,17.2,48,2014
Vermont,12.2,50,2014
