NAME,B25058_001E,state,year
Alabama,447,01,2008
Alaska,863,02,2008
Arizona,738,04,2008
Arkansas,435,05,2008
California,1035,06,2008
Colorado,739,08,2008
Connecticut,813,09,2008
Delaware,754,10,2008
District of Columbia,918,11,2008
Florida,808,12,2008
Georgia,630,13,2008
Hawaii,1167,15,2008
Idaho,590,16,2008
Kansas,496,20,2008
Illinois,689,17,2008
Indiana,534,18,2008
Iowa,479,19,2008
Kentucky,452,21,2008
Louisiana,531,22,2008
Maine,614,23,2008
Maryland,914,24,2008
Massachusetts,860,25,2008
Michigan,589,26,2008
Minnesota,665,27,2008
Mississippi,446,28,2008
Missouri,506,29,2008
Montana,515,30,2008
Nebraska,506,31,2008
Nevada,866,32,2008
New Hampshire,812,33,2008
New Jersey,935,34,2008
New Mexico,563,35,2008
New York,837,36,2008
North Carolina,546,37,2008
North Dakota,468,38,2008
Ohio,524,39,2008
Oklahoma,462,40,2008
Oregon,674,41,2008
Pennsylvania,584,42,2008
Rhode Island,732,44,2008
South Carolina,525,45,2008
South Dakota,468,46,2008
Tennessee,520,47,2008
Texas,614,48,2008
Utah,680,49,2008
Vermont,682,50,2008
Virginia,791,51,2008
Washington,767,53,2008
West Virginia,397,54,2008
Wisconsin,589,55,2008
Wyoming,539,56,2008
Puerto Rico,326,72,2008
Alabama,468,01,2009
Alaska,903,02,2009
Arizona,732,04,2009
Arkansas,435,05,2009
California,1058,06,2009
Colorado,753,08,2009
Connecticut,839,09,2009
Delaware,778,10,2009
District of Columbia,961,11,2009
Florida,802,12,2009
Georgia,637,13,2009
Hawaii,1172,15,2009
Idaho,587,16,2009
Kansas,515,20,2009
Illinois,708,17,2009
Indiana,545,18,2009
Iowa,496,19,2009
Kentucky,475,21,2009
Louisiana,566,22,2009
Maine,626,23,2009
Maryland,941,24,2009
Massachusetts,865,25,2009
Michigan,591,26,2009
Minnesota,683,27,2009
Mississippi,467,28,2009
Missouri,520,29,2009
Montana,533,30,2009
Nebraska,518,31,2009
Nevada,849,32,2009
New Hampshire,825,33,2009
New Jersey,962,34,2009
New Mexico,585,35,2009
New York,877,36,2009
North Carolina,568,37,2009
North Dakota,490,38,2009
Ohio,528,39,2009
Oklahoma,481,40,2009
Oregon,704,41,2009
Pennsylvania,597,42,2009
Rhode Island,748,44,2009
South Carolina,545,45,2009
South Dakota,443,46,2009
Tennessee,532,47,2009
Texas,632,48,2009
Utah,700,49,2009
Vermont,709,50,2009
Virginia,832,51,2009
Washington,801,53,2009
West Virginia,415,54,2009
Wisconsin,599,55,2009
Wyoming,583,56,2009
Puerto Rico,334,72,2009
Alabama,471,01,2010
Alaska,904,02,2010
Arizona,709,04,2010
Arkansas,468,05,2010
California,1066,06,2010
Colorado,756,08,2010
Connecticut,840,09,2010
Delaware,798,10,2010
District of Columbia,1107,11,2010
Florida,799,12,2010
Georgia,640,13,2010
Hawaii,1168,15,2010
Idaho,576,16,2010
Illinois,725,17,2010
Indiana,547,18,2010
Iowa,509,19,2010
Kansas,520,20,2010
Kentucky,477,21,2010
Louisiana,571,22,2010
Maine,618,23,2010
Maryland,965,24,2010
Massachusetts,896,25,2010
Michigan,599,26,2010
Minnesota,690,27,2010
Mississippi,483,28,2010
Missouri,524,29,2010
Montana,552,30,2010
Nebraska,542,31,2010
Nevada,811,32,2010
New Hampshire,843,33,2010
New Jersey,967,34,2010
New Mexico,596,35,2010
New York,903,36,2010
North Carolina,564,37,2010
North Dakota,521,38,2010
Ohio,541,39,2010
Oklahoma,499,40,2010
Oregon,705,41,2010
Pennsylvania,619,42,2010
Rhode Island,746,44,2010
South Carolina,548,45,2010
South Dakota,502,46,2010
Tennessee,539,47,2010
Texas,647,48,2010
Utah,693,49,2010
Vermont,707,50,2010
Virginia,854,51,2010
