NAME,B25064_001E,state,year
Alabama,631,01,2008
Alaska,949,02,2008
Arizona,866,04,2008
Arkansas,606,05,2008
California,1135,06,2008
Colorado,848,08,2008
Connecticut,970,09,2008
Delaware,917,10,2008
District of Columbia,1011,11,2008
Florida,947,12,2008
Georgia,787,13,2008
Hawaii,1298,15,2008
Idaho,690,16,2008
Illinois,811,17,2008
Indiana,670,18,2008
Iowa,607,19,2008
Kansas,654,20,2008
Kentucky,578,21,2008
Louisiana,698,22,2008
Maine,702,23,2008
Maryland,1074,24,2008
Massachusetts,991,25,2008
Michigan,706,26,2008
Minnesota,734,27,2008
Mississippi,638,28,2008
Missouri,657,29,2008
Montana,631,30,2008
Nebraska,626,31,2008
Nevada,1011,32,2008
New Hampshire,914,33,2008
New Jersey,1068,34,2008
New Mexico,668,35,2008
New York,953,36,2008
North Carolina,694,37,2008
North Dakota,534,38,2008
Ohio,667,39,2008
Oklahoma,614,40,2008
Oregon,780,41,2008
Pennsylvania,726,42,2008
Rhode Island,850,44,2008
South Carolina,675,45,2008
South Dakota,569,46,2008
Tennessee,660,47,2008
Texas,768,48,2008
Utah,784,49,2008
Vermont,797,50,2008
Virginia,934,51,2008
Washington,874,53,2008
West Virginia,528,54,2008
Wisconsin,704,55,2008
Wyoming,636,56,2008
Puerto Rico,429,72,2008
Alabama,657,01,2009
Alaska,1007,02,2009
Arizona,859,04,2009
Arkansas,606,05,2009
California,1155,06,2009
Colorado,851,08,2009
Connecticut,1006,09,2009
Delaware,949,10,2009
District of Columbia,1059,11,2009
Florida,952,12,2009
Georgia,800,13,2009
Hawaii,1293,15,2009
Idaho,694,16,2009
Illinois,828,17,2009
Indiana,687,18,2009
Iowa,611,19,2009
Kansas,671,20,2009
Kentucky,613,21,2009
Louisiana,715,22,2009
Maine,722,23,2009
Maryland,1108,24,2009
Massachusetts,988,25,2009
Michigan,716,26,2009
Minnesota,757,27,2009
Mississippi,644,28,2009
Missouri,668,29,2009
Montana,627,30,2009
Nebraska,644,31,2009
Nevada,993,32,2009
New Hampshire,918,33,2009
New Jersey,1108,34,2009
New Mexico,680,35,2009
New York,984,36,2009
North Carolina,720,37,2009
North Dakota,564,38,2009
Ohio,670,39,2009
Oklahoma,636,40,2009
