state_fips,year,state_abbr,state_name,census_region,census_division
01,2008,AL,Alabama,South,East South Central
01,2009,AL,Alabama,South,East South Central
01,2010,AL,Alabama,South,East South Central
01,2011,AL,Alabama,South,East South Central
01,2012,AL,Alabama,South,East South Central
01,2013,AL,Alabama,South,East South Central
01,2014,AL,Alabama,South,East South Central
01,2015,AL,Alabama,South,East South Central
01,2016,AL,Alabama,South,East South Central
01,2017,AL,Alabama,South,East South Central
01,2018,AL,Alabama,South,East South Central
01,2019,AL,Alabama,South,East South Central
01,2020,AL,Alabama,South,East South Central
01,2021,AL,Alabama,South,East South Central
01,2022,AL,Alabama,South,East South Central
01,2023,AL,Alabama,South,East South Central
02,2008,AK,Alaska,West,Pacific
02,2009,AK,Alaska,West,Pacific
02,2010,AK,Alaska,West,Pacific
02,2011,AK,Alaska,West,Pacific
02,2012,AK,Alaska,West,Pacific
02,2013,AK,Alaska,West,Pacific
02,2014,AK,Alaska,West,Pacific
02,2015,AK,Alaska,West,Pacific
02,2016,AK,Alaska,West,Pacific
02,2017,AK,Alaska,West,Pacific
02,2018,AK,Alaska,West,Pacific
02,2019,AK,Alaska,West,Pacific
02,2020,AK,Alaska,West,Pacific
02,2021,AK,Alaska,West,Pacific
02,2022,AK,Alaska,West,Pacific
02,2023,AK,Alaska,West,Pacific
04,2008,AZ,Arizona,West,Mountain
04,2009,AZ,Arizona,West,Mountain
04,2010,AZ,Arizona,West,Mountain
04,2011,AZ,Arizona,West,Mountain
04,2012,AZ,Arizona,West,Mountain
04,2013,AZ,Arizona,West,Mountain
04,2014,AZ,Arizona,West,Mountain
04,2015,AZ,Arizona,West,Mountain
04,2016,AZ,Arizona,West,Mountain
04,2017,AZ,Arizona,West,Mountain
04,2018,AZ,Arizona,West,Mountain
04,2019,AZ,Arizona,West,Mountain
04,2020,AZ,Arizona,West,Mountain
04,2021,AZ,Arizona,West,Mountain
04,2022,AZ,Arizona,West,Mountain
04,2023,AZ,Arizona,West,Mountain
05,2008,AR,Arkansas,South,West South Central
05,2009,AR,Arkansas,South,West South Central
05,2010,AR,Arkansas,South,West South Central
05,2011,AR,Arkansas,South,West South Central
05,2012,AR,Arkansas,South,West South Central
05,2013,AR,Arkansas,South,West South Central
05,2014,AR,Arkansas,South,West South Central
05,2015,AR,Arkansas,South,West South Central
05,2016,AR,Arkansas,South,West South Central
05,2017,AR,Arkansas,South,West South Central
05,2018,AR,Arkansas,South,West South Central
05,2019,AR,Arkansas,South,West South Central
05,2020,AR,Arkansas,South,West South Central
05,2021,AR,Arkansas,South,West South Central
05,2022,AR,Arkansas,South,West South Central
05,2023,AR,Arkansas,South,West South Central
06,2008,CA,California,West,Pacific
06,2009,CA,California,West,Pacific
06,2010,CA,California,West,Pacific
06,2011,CA,California,West,Pacific
06,2012,CA,California,West,Pacific
06,2013,CA,California,West,Pacific
06,2014,CA,California,West,Pacific
06,2015,CA,California,West,Pacific
06,2016,CA,California,West,Pacific
06,2017,CA,California,West,Pacific
06,2018,CA,California,West,Pacific
06,2019,CA,California,West,Pacific
06,2020,CA,California,West,Pacific
06,2021,CA,California,West,Pacific
06,2022,CA,California,West,Pacific
06,2023,CA,California,West,Pacific
08,2008,CO,Colorado,West,Mountain
08,2009,CO,Colorado,West,Mountain
08,2010,CO,Colorado,West,Mountain
08,2011,CO,Colorado,West,Mountain
08,2012,CO,Colorado,West,Mountain
08,2013,CO,Colorado,West,Mountain
08,2014,CO,Colorado,West,Mountain
08,2015,CO,Colorado,West,Mountain
08,2016,CO,Colorado,West,Mountain
08,2017,CO,Colorado,West,Mountain
08,2018,CO,Colorado,West,Mountain
08,2019,CO,Colorado,West,Mountain
08,2020,CO,Colorado,West,Mountain
08,2021,CO,Colorado,West,Mountain
08,2022,CO,Colorado,West,Mountain
08,2023,CO,Colorado,West,Mountain
09,2008,CT,Connecticut,Northeast,New England
09,2009,CT,Connecticut,Northeast,New England
09,2010,CT,Connecticut,Northeast,New England
09,2011,CT,Connecticut,Northeast,New England
09,2012,CT,Connecticut,Northeast,New England
09,2013,CT,Connecticut,Northeast,New England
09,2014,CT,Connecticut,Northeast,New England
09,2015,CT,Connecticut,Northeast,New England
09,2016,CT,Connecticut,Northeast,New England
09,2017,CT,Connecticut,Northeast,New England
09,2018,CT,Connecticut,Northeast,New England
09,2019,CT,Connecticut,Northeast,New England
09,2020,CT,Connecticut,Northeast,New England
09,2021,CT,Connecticut,Northeast,New England
09,2022,CT,Connecticut,Northeast,New England
