state_fips,year,poverty_rate,median_hh_income,rpp_all,rpp_rents
06,2008,,61021.0,111.22,161.361
06,2012,17.0,58328.0,109.666,156.194
06,2016,14.3,67739.0,109.956,160.083
06,2020,,,111.944,166.329
06,2023,12.0,95521.0,112.195,157.831
12,2008,,47778.0,101.668,115.063
12,2012,17.1,45040.0,101.072,108.822
12,2016,14.7,50860.0,101.087,109.395
12,2020,,,100.604,113.588
12,2023,12.3,73311.0,103.636,123.169
17,2008,,56235.0,100.316,103.047
17,2012,14.7,55137.0,100.947,102.294
17,2016,13.0,60960.0,99.498,101.386
17,2020,,,100.315,97.642
17,2023,11.6,80306.0,98.752,92.404
36,2008,,56033.0,111.358,130.887
36,2012,15.9,56448.0,109.623,136.225
36,2016,14.7,62909.0,110.086,133.736
36,2020,,,110.13,132.33
36,2023,14.2,82095.0,107.842,121.963
48,2008,,50043.0,97.068,87.983
48,2012,17.9,50740.0,97.714,91.094
48,2016,15.6,56565.0,98.078,95.552
48,2020,,,98.759,95.775
48,2023,13.7,75780.0,97.14,97.454
