state_fips,state_abbr,year,tfp_national_monthly,tfp_national_annual,rpp_goods_index,food_reconstructed_annual,construction_flag_food
06,CA,2008,512.6,6151.200000000001,107.413,6607.188456000001,reconstructed
06,CA,2012,567.6,6811.200000000001,104.095,7090.118640000001,reconstructed
06,CA,2016,556.0,6672.0,104.385,6964.5672,reconstructed
06,CA,2020,602.0,7224.0,106.661,7705.190640000001,reconstructed
06,CA,2023,975.5,11706.0,106.766,12498.02796,reconstructed
12,FL,2008,512.6,6151.200000000001,98.894,6083.167728000001,reconstructed
12,FL,2012,567.6,6811.200000000001,98.016,6676.065792000001,reconstructed
12,FL,2016,556.0,6672.0,97.541,6507.93552,reconstructed
12,FL,2020,602.0,7224.0,97.414,7037.18736,reconstructed
12,FL,2023,975.5,11706.0,98.195,11494.7067,reconstructed
17,IL,2008,512.6,6151.200000000001,99.378,6112.939536000001,reconstructed
17,IL,2012,567.6,6811.200000000001,101.083,6884.965296,reconstructed
17,IL,2016,556.0,6672.0,98.196,6551.637119999999,reconstructed
17,IL,2020,602.0,7224.0,101.312,7318.77888,reconstructed
17,IL,2023,975.5,11706.0,101.596,11892.82776,reconstructed
36,NY,2008,512.6,6151.200000000001,112.058,6892.911696000002,reconstructed
36,NY,2012,567.6,6811.200000000001,108.582,7395.737184,reconstructed
36,NY,2016,556.0,6672.0,107.952,7202.5574400000005,reconstructed
36,NY,2020,602.0,7224.0,105.699,7635.695759999999,reconstructed
36,NY,2023,975.5,11706.0,105.118,12305.11308,reconstructed
48,TX,2008,512.6,6151.200000000001,97.135,5974.968120000001,reconstructed
48,TX,2012,567.6,6811.200000000001,97.599,6647.663088000001,reconstructed
48,TX,2016,556.0,6672.0,98.439,6567.850079999999,reconstructed
48,TX,2020,602.0,7224.0,98.161,7091.15064,reconstructed
48,TX,2023,975.5,11706.0,98.137,11487.91722,reconstructed
