state_fips,state_abbr,year,contract_rent_monthly,contract_rent_annual,gross_rent_monthly,gross_rent_annual
06,CA,2008,1035,12420,1135,13620
06,CA,2012,1100,13200,1200,14400
06,CA,2016,1252,15024,1375,16500
06,CA,2023,1820,21840,1992,23904
12,FL,2008,808,9696,947,11364
12,FL,2012,815,9780,954,11448
12,FL,2016,931,11172,1086,13032
12,FL,2023,1553,18636,1719,20628
17,IL,2008,689,8268,811,9732
17,IL,2012,752,9024,868,10416
17,IL,2016,832,9984,950,11400
17,IL,2023,1083,12996,1238,14856
36,NY,2008,837,10044,953,11436
36,NY,2012,965,11580,1079,12948
36,NY,2016,1086,13032,1194,14328
36,NY,2023,1406,16872,1561,18732
48,TX,2008,614,7368,768,9216
48,TX,2012,684,8208,831,9972
48,TX,2016,809,9708,956,11472
48,TX,2023,1221,14652,1413,16956
