state_fips,state_abbr,year,min_wage_nominal,federal_min_wage,binding_min_wage,annualized_mw_income
06,CA,2008,8.0,6.55,8.0,16640.0
06,CA,2012,8.0,7.25,8.0,16640.0
06,CA,2016,10.0,7.25,10.0,20800.0
06,CA,2020,13.0,7.25,13.0,27040.0
06,CA,2023,15.5,7.25,15.5,32240.0
12,FL,2008,6.789999961853027,6.55,6.789999961853027,14123.199920654297
12,FL,2012,7.670000076293945,7.25,7.670000076293945,15953.600158691406
12,FL,2016,8.050000190734863,7.25,8.050000190734863,16744.000396728516
12,FL,2020,8.5600004196167,7.25,8.5600004196167,17804.800872802734
12,FL,2023,12.0,7.25,12.0,24960.0
17,IL,2008,7.75,6.55,7.75,16120.0
17,IL,2012,8.25,7.25,8.25,17160.0
17,IL,2016,8.25,7.25,8.25,17160.0
17,IL,2020,10.0,7.25,10.0,20800.0
17,IL,2023,13.0,7.25,13.0,27040.0
36,NY,2008,7.150000095367432,6.55,7.150000095367432,14872.000198364258
36,NY,2012,7.25,7.25,7.25,15080.0
36,NY,2016,9.699999809265137,7.25,9.699999809265137,20175.999603271484
36,NY,2020,12.5,7.25,12.5,26000.0
36,NY,2023,14.2,7.25,14.2,29536.0
48,TX,2008,6.550000190734863,6.55,6.550000190734863,13624.000396728516
48,TX,2012,7.25,7.25,7.25,15080.0
48,TX,2016,7.25,7.25,7.25,15080.0
48,TX,2020,7.25,7.25,7.25,15080.0
48,TX,2023,7.25,7.25,7.25,15080.0
