state_fips,state_abbr,year,electric_bill_monthly,electric_bill_annual,construction_flag_electric,gas_bill_monthly,gas_bill_annual,construction_flag_gas
06,CA,2008,81.09900847520207,973.1881017024248,reconstructed_revenue_customers,63.75,765.0,estimated_from_price
06,CA,2012,87.9107782973043,1054.9293395676516,reconstructed_revenue_customers,45.7,548.4000000000001,estimated_from_price
06,CA,2016,95.2004714270956,1142.4056571251472,reconstructed_revenue_customers,59.2,710.4,estimated_from_price
06,CA,2020,116.93596137851928,1403.2315365422312,reconstructed_revenue_customers,70.7,848.4000000000001,estimated_from_price
06,CA,2023,144.81332158511125,1737.7598590213347,reconstructed_revenue_customers,109.2,1310.4,estimated_from_price
12,FL,2008,130.5150556030291,1566.180667236349,reconstructed_revenue_customers,105.35,1264.2,estimated_from_price
12,FL,2012,123.44817191768804,1481.3780630122565,reconstructed_revenue_customers,91.7,1100.4,estimated_from_price
12,FL,2016,123.3737400830279,1480.4848809963348,reconstructed_revenue_customers,101.35,1216.2,estimated_from_price
12,FL,2020,128.6358901066055,1543.630681279266,reconstructed_revenue_customers,106.9,1282.8,estimated_from_price
12,FL,2023,168.3542144453718,2020.2505733444616,reconstructed_revenue_customers,125.85,1510.2,estimated_from_price
17,IL,2008,84.62637334833882,1015.516480180066,reconstructed_revenue_customers,60.35,724.2,estimated_from_price
17,IL,2012,87.19777357927832,1046.37328295134,reconstructed_revenue_customers,41.3,495.6,estimated_from_price
17,IL,2016,91.82993755249808,1101.9592506299769,reconstructed_revenue_customers,39.4,472.8,estimated_from_price
17,IL,2020,93.98261296236991,1127.791355548439,reconstructed_revenue_customers,39.7,476.4,estimated_from_price
17,IL,2023,105.10506780873452,1261.2608137048144,reconstructed_revenue_customers,57.85,694.2,estimated_from_price
36,NY,2008,108.47760801045428,1301.7312961254513,reconstructed_revenue_customers,83.9,1006.8,estimated_from_price
36,NY,2012,106.14325306601016,1273.719036792122,reconstructed_revenue_customers,64.85000000000001,778.2,estimated_from_price
36,NY,2016,104.57633605711516,1254.916032685382,reconstructed_revenue_customers,54.2,650.4,estimated_from_price
36,NY,2020,110.4732495280531,1325.6789943366373,reconstructed_revenue_customers,64.0,768.0,estimated_from_price
36,NY,2023,125.80141443282665,1509.6169731939196,reconstructed_revenue_customers,84.5,1014.0,estimated_from_price
48,TX,2008,147.19523744699754,1766.3428493639703,reconstructed_revenue_customers,68.75,825.0,estimated_from_price
48,TX,2012,128.26923658953703,1539.2308390744442,reconstructed_revenue_customers,52.75,633.0,estimated_from_price
48,TX,2016,127.10454102676886,1525.2544923212265,reconstructed_revenue_customers,58.650000000000006,703.8000000000001,estimated_from_price
48,TX,2020,132.59141094747324,1591.0969313696787,reconstructed_revenue_customers,58.2,698.4000000000001,estimated_from_price
48,TX,2023,165.81560252442247,1989.7872302930696,reconstructed_revenue_customers,86.95,1043.4,estimated_from_price
