,missing_count,missing_pct
state_fips,0,0.0
year,0,0.0
state_abbr,0,0.0
state_name,0,0.0
census_region,0,0.0
census_division,0,0.0
min_wage_nominal,51,6.25
min_wage_annual_avg,51,6.25
federal_min_wage,51,6.25
binding_min_wage,51,6.25
annualized_mw_income,51,6.25
contract_rent_monthly,51,6.25
gross_rent_monthly,51,6.25
contract_rent_annual,51,6.25
gross_rent_annual,51,6.25
tfp_national_monthly,0,0.0
tfp_national_annual,0,0.0
rpp_goods_index,0,0.0
food_reconstructed_annual,0,0.0
construction_flag_food,0,0.0
electric_bill_monthly,153,18.75
electric_bill_annual,153,18.75
gas_price_per_mcf,0,0.0
gas_bill_monthly,0,0.0
gas_bill_annual,0,0.0
construction_flag_gas,0,0.0
poverty_rate,153,18.75
median_hh_income,51,6.25
rpp_all,0,0.0
rpp_rents,0,0.0
